#{"t_start": 1752083390.4125154, "env_id": "None"}
r,l,t
-0.835516,10,4.540761
-0.835516,10,4.546026
-0.835516,10,4.549831
-0.835516,10,4.549831
-0.835516,10,4.549831
-0.835516,10,4.565754
-0.835516,10,4.565754
-0.835516,10,4.565754
-0.835516,10,4.581005
-0.835516,10,4.581005
-0.835516,10,4.581005
-0.835516,10,4.597124
-0.835516,10,4.597124
-0.835516,10,4.612905
-0.835516,10,4.612905
-0.835516,10,4.612905
-0.835516,10,4.628667
-0.835516,10,4.628667
-0.835516,10,4.628667
-0.835516,10,4.644601
-0.835516,10,4.644601
-0.835516,10,4.644601
-0.835516,10,4.66076
-0.835516,10,4.66076
-0.835516,10,4.66076
-0.835516,10,4.676571
-0.835516,10,4.681197
-0.835516,10,4.681197
-0.835516,10,4.692306
-0.835516,10,4.692306
-0.835516,10,4.708084
-0.835516,10,4.708084
-0.835516,10,4.708084
-0.835516,10,4.723909
-0.835516,10,4.723909
-0.835516,10,4.723909
-0.835516,10,4.739668
-0.835516,10,4.739668
-0.835516,10,4.739668
-0.835516,10,4.75543
-0.835516,10,4.75543
-0.835516,10,4.75543
-0.835516,10,4.771177
-0.835516,10,4.771177
-0.835516,10,4.781316
-0.835516,10,4.786947
-0.835516,10,4.786947
-0.835516,10,4.786947
-0.835516,10,4.807069
-0.835516,10,4.812346
-0.835516,10,4.818668
-0.835516,10,4.818668
-0.835516,10,4.818668
-0.835516,10,4.834427
-0.835516,10,4.834427
-0.835516,10,4.834427
-0.835516,10,4.850393
-0.835516,10,4.850393
-0.835516,10,4.850393
-0.835516,10,4.866165
-0.835516,10,4.866165
-0.835516,10,4.866165
-0.835516,10,4.88134
-0.835516,10,4.88134
-0.835516,10,4.88134
-0.835516,10,4.897163
-0.835516,10,4.897163
-0.835516,10,4.913321
-0.835516,10,4.913321
-0.835516,10,4.913321
-0.835516,10,4.929086
-0.835516,10,4.929086
-0.835516,10,4.929086
-0.835516,10,4.944971
-0.835516,10,4.944971
-0.835516,10,4.944971
-0.835516,10,4.960737
-0.835516,10,4.960737
-0.835516,10,4.960737
-0.835516,10,4.976591
-0.835516,10,4.981753
-0.835516,10,4.981753
-0.835516,10,4.992365
-0.835516,10,4.992365
-0.835516,10,4.992365
-0.835516,10,5.008155
-0.835516,10,5.008155
-0.835516,10,5.023925
-0.835516,10,5.025768
-0.835516,10,5.025768
-0.835516,10,5.025768
-0.835516,10,5.046521
-0.835516,10,5.051536
-0.835516,10,5.056522
-0.835516,10,5.057956
-0.835516,10,5.057956
-0.835516,10,5.073666
-0.835516,10,5.073666
-0.835516,10,5.081852
-0.835516,10,5.089463
-0.835516,10,5.089463
-0.835516,10,5.089463
-0.835516,10,5.105257
-0.835516,10,5.105257
-0.835516,10,5.105257
-0.835516,10,5.121109
-0.835516,10,5.121109
-0.835516,10,5.136878
-0.835516,10,5.136878
-0.835516,10,5.136878
-0.835516,10,5.152777
-0.835516,10,5.152777
-0.835516,10,5.152777
-0.835516,10,5.168546
-0.835516,10,5.168546
-0.835516,10,5.168546
-0.835516,10,5.184646
-0.835516,10,5.184646
-0.835516,10,5.184646
-0.835516,10,5.200441
-0.835516,10,5.200441
-0.835516,10,5.200441
-0.835516,10,5.216248
-0.835516,10,5.216248
-0.835516,10,5.2321
-0.835516,10,5.2321
-0.835516,10,5.2321
-0.835516,10,5.247888
-0.835516,10,5.247888
-0.835516,10,5.247888
-0.835516,10,5.263889
-0.835516,10,5.263889
-0.835516,10,5.263889
-0.835516,10,5.282294
-0.835516,10,5.282294
-0.835516,10,5.282294
-0.835516,10,5.295906
-0.835516,10,5.295906
-0.835516,10,5.295906
-0.835516,10,5.311679
-0.835516,10,5.311679
-0.835516,10,5.327484
-0.835516,10,5.327484
-0.835516,10,5.327484
-0.835516,10,5.343261
-0.835516,10,5.343261
-0.835516,10,5.343261
-0.835516,10,5.359049
-0.835516,10,5.359049
-0.835516,10,5.359049
-0.835516,10,5.375192
-0.835516,10,5.382347
-0.835516,10,5.382347
-0.835516,10,5.390957
-0.835516,10,5.390957
-0.835516,10,5.390957
-0.835516,10,5.407182
-0.835516,10,5.407182
-0.835516,10,5.407182
-0.835516,10,5.42299
-0.835516,10,5.42299
-0.835516,10,5.438812
-0.835516,10,5.438812
-0.835516,10,5.438812
-0.835516,10,5.45461
-0.835516,10,5.456616
-0.835516,10,7.20257
-0.835516,10,7.224294
-0.835516,10,7.22831
-0.835516,10,7.236348
-0.835516,10,7.241538
-0.835516,10,7.246645
-0.835516,10,7.252171
-0.835516,10,7.258196
-0.835516,10,7.26422
-0.835516,10,7.269987
-0.835516,10,7.276011
-0.835516,10,7.281775
-0.835516,10,7.288305
-0.835516,10,7.294129
-0.835516,10,7.300132
-0.835516,10,7.305957
