#{"t_start": 1752135760.0059714, "env_id": "None"}
r,l,t
1.521471,10,46.31872
1.56934,10,46.532858
1.680598,10,46.761652
1.353594,10,46.959307
1.86022,10,47.164972
2.518606,10,47.381956
2.141557,10,47.58922
1.534607,10,47.794731
2.465868,10,48.001235
1.338562,10,48.22903
2.303519,10,48.418702
1.98639,10,48.624079
1.64134,10,48.845156
1.141658,10,49.054936
1.107278,10,49.24582
2.161662,10,49.450265
1.334428,10,49.656142
2.213429,10,49.865674
1.945297,10,50.071985
1.726906,10,50.279192
1.619434,10,50.492957
1.743761,10,50.725989
2.484681,10,50.932921
1.949227,10,51.329215
1.628609,10,51.739347
1.283328,10,52.186761
1.936702,10,52.571214
1.673591,10,53.002372
2.183481,10,53.415754
1.027853,10,53.81792
2.354975,10,54.248136
1.931119,10,54.693241
2.089436,10,55.002971
2.46507,10,55.268457
2.065198,10,55.532593
2.72176,10,55.86969
2.48086,10,56.219124
1.485436,10,56.573121
2.183556,10,56.939078
1.856315,10,57.336466
1.474814,10,57.752358
1.660185,10,58.160721
2.029703,10,58.41177
1.73176,10,58.759509
1.16441,10,59.122216
1.607176,10,59.510332
1.524822,10,59.877968
1.269652,10,60.25806
1.852557,10,60.639473
1.770721,10,61.091994
1.290341,10,61.50369
1.97095,10,61.932215
1.426841,10,62.296906
1.629539,10,62.746167
1.91486,10,63.175278
2.028534,10,63.604678
2.440372,10,64.017827
2.474549,10,64.450613
1.839772,10,64.879389
1.579948,10,65.292817
2.036721,10,65.710696
1.997947,10,66.089494
1.91128,10,66.529427
2.706862,10,66.958282
1.540665,10,67.386395
1.647795,10,67.819887
2.359164,10,68.24856
1.807719,10,68.629464
1.356247,10,68.898175
1.741743,10,69.210546
1.498322,10,69.607165
1.877807,10,70.020525
2.200896,10,70.433093
1.998503,10,70.836754
1.588787,10,71.267163
1.61277,10,71.679615
1.694418,10,72.101141
1.430979,10,72.428642
2.122612,10,72.866182
2.17311,10,73.295958
1.717225,10,73.710521
1.232609,10,74.091286
2.138451,10,74.514086
1.700394,10,74.943916
1.642124,10,75.29917
1.140312,10,75.682201
1.481085,10,76.086151
1.832125,10,76.537147
1.583372,10,76.956647
2.37632,10,77.429196
1.900465,10,77.868732
2.251733,10,78.316915
2.041481,10,78.743163
2.216069,10,79.123643
1.338544,10,79.598597
1.177153,10,80.005691
2.408829,10,80.3702
1.535267,10,80.756754
2.299013,10,81.210535
2.585612,10,81.660609
2.10462,10,82.012653
1.856135,10,82.296495
2.41342,10,82.696147
1.676214,10,83.11181
1.576844,10,83.522901
1.937839,10,83.963046
1.963219,10,84.33033
1.770147,10,84.808803
1.93053,10,85.123495
1.875185,10,85.510749
1.771326,10,85.846679
1.803761,10,86.266251
2.429657,10,86.703706
1.995314,10,87.144582
2.559974,10,87.601474
1.580397,10,88.052959
2.084129,10,88.367271
2.018341,10,88.675923
1.575323,10,89.119387
1.616784,10,89.556341
1.906103,10,90.010221
2.746144,10,90.412915
1.901529,10,90.844386
2.605978,10,91.290436
2.524083,10,91.729826
1.78944,10,92.193758
1.695688,10,92.567049
1.652384,10,93.01766
2.447087,10,93.464297
1.807478,10,93.901317
2.644185,10,94.276309
2.154949,10,94.701608
2.346077,10,94.983264
1.682409,10,95.326533
1.950829,10,95.673562
2.038181,10,96.130435
2.191743,10,96.545562
1.773861,10,96.947326
2.077503,10,97.343009
1.680474,10,97.692007
2.332454,10,98.041274
1.696477,10,98.465629
1.593984,10,98.858114
2.010008,10,99.287486
2.162118,10,99.704864
2.383678,10,100.122091
1.948456,10,100.566426
1.870788,10,100.993639
1.422328,10,101.40602
2.066858,10,101.861214
2.476132,10,102.295781
2.729074,10,102.70115
1.754564,10,103.110261
1.316385,10,103.534752
1.758537,10,103.951036
2.542675,10,104.401583
2.34866,10,104.710279
1.644686,10,105.010647
1.72066,10,105.321334
2.41258,10,105.696323
3.385163,10,106.041168
2.522977,10,106.451505
2.123178,10,106.871633
1.627308,10,107.281642
0.778772,10,107.648485
2.262177,10,108.084735
1.845708,10,108.467426
1.399666,10,108.899346
1.922495,10,109.354512
1.711612,10,109.82219
1.800521,10,110.238609
1.720793,10,110.625369
1.549227,10,110.984965
2.102999,10,111.327223
1.760101,10,111.626996
2.372116,10,111.951376
2.315899,10,112.379672
2.470504,10,112.757814
2.138814,10,113.169764
2.90479,10,113.581716
2.00189,10,113.995907
1.821685,10,114.301756
1.689268,10,114.571921
2.814381,10,114.984929
2.836922,10,115.30102
1.148552,10,115.672739
1.561281,10,116.134676
2.502741,10,116.531257
1.753882,10,116.958594
3.277424,10,117.394683
1.75,10,117.760395
2.037361,10,118.19319
1.963256,10,118.410082
1.909068,10,118.738538
2.685643,10,119.156226
2.062251,10,119.573063
2.272849,10,119.944188
1.534059,10,120.377852
2.348156,10,120.790768
2.395571,10,121.219735
2.381801,10,121.562608
1.918829,10,121.858386
2.188591,10,122.268821
2.913569,10,122.697109
2.256229,10,123.124599
2.609156,10,123.551675
1.665019,10,123.957009
1.778881,10,124.393709
2.213676,10,124.800009
3.425438,10,125.101635
1.974671,10,125.56421
2.595507,10,125.971187
1.866506,10,126.399571
1.978362,10,126.792525
2.139561,10,127.216255
3.043637,10,127.630468
2.336138,10,127.995765
1.871456,10,128.304795
2.241785,10,128.738899
2.342961,10,129.145281
2.449647,10,129.573933
2.820519,10,130.023944
2.116665,10,130.469608
2.543172,10,130.918174
2.331234,10,131.255516
2.645842,10,131.637781
1.792473,10,132.033254
2.874445,10,132.462729
1.925153,10,132.858701
2.421854,10,133.274592
1.792086,10,133.6885
2.486589,10,134.085722
2.241987,10,134.449725
2.653147,10,134.851185
2.809861,10,135.212152
2.818551,10,135.673852
2.221652,10,135.993397
2.274454,10,136.276454
1.927906,10,136.540196
2.58084,10,136.835196
2.124171,10,137.047825
1.705356,10,137.266064
1.912271,10,137.472861
2.526022,10,137.693962
1.806718,10,137.927523
2.041581,10,138.369768
2.493458,10,138.809904
2.856147,10,139.162952
2.277848,10,139.569467
1.561689,10,139.939802
1.722314,10,140.41685
2.220595,10,140.816738
2.157395,10,141.146032
2.59597,10,141.461566
1.348791,10,141.867844
1.62164,10,142.334416
2.163974,10,142.754929
2.576567,10,143.177956
1.868623,10,143.524944
1.760269,10,143.910121
2.253685,10,144.358126
2.754771,10,144.739693
2.200225,10,145.066038
2.360105,10,145.3871
2.18514,10,145.802727
2.43227,10,146.269214
3.452459,10,146.720715
2.574554,10,147.067661
2.555228,10,147.438761
2.57862,10,147.669399
2.692766,10,147.931238
2.772098,10,148.197804
2.238721,10,148.655876
2.209886,10,149.093987
1.623424,10,149.515503
1.782598,10,149.949492
2.498076,10,150.39589
2.069512,10,150.814677
2.148168,10,151.108109
2.570248,10,151.484895
2.469454,10,151.92771
2.69742,10,152.303005
2.092689,10,152.739527
2.7484,10,153.162739
2.08167,10,153.622119
1.738189,10,154.069629
2.598798,10,154.439645
1.993578,10,154.890286
2.581605,10,155.277877
2.465643,10,155.724508
1.897137,10,155.968737
2.510893,10,156.214748
2.09105,10,156.441285
2.796449,10,156.685422
2.485119,10,156.937592
2.561917,10,157.161682
1.864843,10,157.377336
1.121364,10,157.619971
3.076937,10,157.838646
2.193602,10,158.07693
2.79785,10,158.292778
1.664221,10,158.541634
1.840508,10,158.770875
2.140911,10,159.015042
2.277098,10,159.252095
2.43925,10,159.469918
1.792639,10,159.675153
2.51031,10,159.945899
1.445241,10,160.163853
1.694032,10,160.391676
1.939532,10,160.623335
2.154754,10,160.841081
2.068837,10,161.091987
1.883486,10,161.334912
1.809225,10,161.545714
2.779051,10,161.758008
2.996387,10,161.980957
2.228736,10,162.200436
1.741291,10,162.42145
2.209237,10,162.641482
2.561624,10,162.873566
2.417442,10,163.133575
2.707171,10,163.384221
2.403585,10,163.592734
2.75316,10,163.82164
2.276636,10,164.065002
3.201321,10,164.282558
2.726113,10,164.506127
3.282761,10,164.712829
2.734469,10,164.945075
2.498218,10,165.169792
3.327697,10,165.409
2.615173,10,165.633777
2.469118,10,165.853131
2.926313,10,166.076662
2.456748,10,166.341853
1.76234,10,166.590791
1.810126,10,166.822994
1.749253,10,167.035726
2.152574,10,167.265483
1.71557,10,167.482534
2.280923,10,167.706709
2.215288,10,167.924114
2.197251,10,168.143822
2.625985,10,168.37891
2.810898,10,168.630385
2.228205,10,168.904436
2.071958,10,169.123174
2.2689,10,169.348917
2.576218,10,169.570167
1.486333,10,169.784571
2.446134,10,170.000729
